Client_ID,State,Facility_Type,Monthly_Cost ,Performance_Score,Optimization_Process,Monthly_Cost_Savings ,Employees_on_Site
10364,Abia,Retail Store,226720,79.75,Preventive Maintenance,45618,83
5519,Anambra,Office,94380,96.82,Energy Efficiency,26367,19
15358,Lagos,Warehouse,468405,65.96,Space Utilization,20104,304
10667,Taraba,Retail Store,481720,99.35,Security Enhancement,19636,110
18922,Abia,Manufacturing Plant,420218,96.65,Space Utilization,38996,209
12057,Rivers,Manufacturing Plant,470974,69.29,Preventive Maintenance,15291,54
9650,Delta,Manufacturing Plant,286208,87.85,Security Enhancement,35611,257
19552,Abia,Retail Store,181264,80.67,Security Enhancement,13945,130
19146,Osun,Warehouse,329233,67.81,Space Utilization,5305,363
15137,Yobe,Office,64213,61.27,Preventive Maintenance,18019,468
19310,Zamfara,Manufacturing Plant,307299,83.24,Energy Efficiency,20128,387
14243,Yobe,Data Center,86284,65.65,Preventive Maintenance,43844,148
10305,Gombe,Office,208054,97.97,Space Utilization,43281,17
12813,Katsina,Data Center,281122,65.68,Preventive Maintenance,33508,240
5581,Yobe,Data Center,324721,95.77,Sustainable Practices,47343,187
12698,Zamfara,Manufacturing Plant,495344,91.76,Security Enhancement,22184,228
6328,Kano,Office,498372,71.41,Energy Efficiency,44462,382
11722,Edo,Warehouse,486874,75.72,Security Enhancement,23430,215
13021,Borno,Warehouse,418423,76.77,Security Enhancement,6800,185
8548,Ekiti,Data Center,51527,86.52,Space Utilization,32801,485
1902,Taraba,Office,313481,81.75,Sustainable Practices,26957,353
16282,Bauchi,Warehouse,208092,68.11,Sustainable Practices,13944,497
8360,Taraba,Office,152516,68.13,Security Enhancement,18433,378
7795,Bauchi,Data Center,178157,68.76,Security Enhancement,10047,307
9278,Plateau,Manufacturing Plant,85876,78.3,Space Utilization,5326,285
3443,Adamawa,Warehouse,493693,77.1,Security Enhancement,10419,142
1821,Ekiti,Office,450098,63.65,Security Enhancement,14085,320
280,Niger,Office,465856,69.52,Sustainable Practices,48546,216
1183,Benue,Data Center,292402,95.2,Sustainable Practices,16364,255
2232,Anambra,Data Center,473577,75.89,Space Utilization,36979,464
15572,Kogi,Manufacturing Plant,311461,97.06,Sustainable Practices,35157,310
15184,Ebonyi,Office,262845,95.86,Energy Efficiency,29728,407
18309,Cross River,Warehouse,170560,99.29,Security Enhancement,29906,75
3499,Oyo,Warehouse,225561,79.74,Preventive Maintenance,32705,102
15898,Edo,Retail Store,138831,99.89,Security Enhancement,33870,373
4165,Ogun,Retail Store,462197,85,Preventive Maintenance,13900,321
7800,Nasarawa,Office,296009,63.72,Space Utilization,29296,344
6392,Bauchi,Data Center,357088,83.85,Security Enhancement,42705,411
7450,Ebonyi,Data Center,489546,95.57,Sustainable Practices,18782,412
11700,Kwara,Warehouse,496121,77.07,Preventive Maintenance,31183,47
18116,Yobe,Data Center,187417,73.57,Security Enhancement,46863,279
12647,Cross River,Office,246818,98.45,Security Enhancement,38003,247
13916,Akwa Ibom,Manufacturing Plant,440509,86.61,Sustainable Practices,47645,254
16778,Katsina,Manufacturing Plant,161552,60.99,Energy Efficiency,18139,324
12812,Adamawa,Data Center,275409,82.47,Energy Efficiency,40894,288
13766,Osun,Warehouse,198617,69.44,Preventive Maintenance,17770,191
5228,Kebbi,Data Center,345505,60.9,Energy Efficiency,16234,220
13714,Nasarawa,Manufacturing Plant,167971,92.42,Sustainable Practices,10602,351
561,Plateau,Warehouse,152983,93.45,Preventive Maintenance,20706,354
13581,Lagos,Manufacturing Plant,299504,71.44,Security Enhancement,49459,130
251,Rivers,Retail Store,408848,60.52,Sustainable Practices,29857,203
2740,Oyo,Manufacturing Plant,155865,73.02,Preventive Maintenance,33004,475
9528,Sokoto,Warehouse,497576,90.01,Energy Efficiency,44503,207
18486,Zamfara,Office,385596,61.65,Energy Efficiency,42422,27
13938,Kaduna,Retail Store,408224,74.41,Energy Efficiency,13250,356
10760,Kaduna,Data Center,384987,85.52,Preventive Maintenance,31877,434
1355,Ekiti,Manufacturing Plant,115664,76.45,Sustainable Practices,16254,349
5360,Zamfara,Retail Store,184001,78.49,Sustainable Practices,13305,379
16964,Gombe,Warehouse,428082,95.5,Space Utilization,33785,312
12912,Imo,Data Center,319516,86.46,Space Utilization,39154,483
17061,Yobe,Retail Store,420924,97.51,Security Enhancement,14254,38
7992,Abia,Manufacturing Plant,386910,88.48,Space Utilization,10052,305
16816,Plateau,Manufacturing Plant,240363,63.84,Energy Efficiency,26722,71
6637,Delta,Retail Store,484694,73.94,Energy Efficiency,41872,174
3414,Sokoto,Office,62932,87.38,Preventive Maintenance,8757,407
1773,Bayelsa,Warehouse,366366,87.68,Sustainable Practices,33515,74
14215,Jigawa,Warehouse,302104,98.97,Preventive Maintenance,39724,260
266,Kwara,Data Center,425296,79.9,Security Enhancement,18683,203
7370,Edo,Manufacturing Plant,177426,90.95,Space Utilization,8967,11
15027,Niger,Data Center,178971,85.46,Space Utilization,46316,339
39,Cross River,Office,122585,78.97,Energy Efficiency,25230,227
5113,Kaduna,Data Center,373568,96.77,Security Enhancement,40359,80
2729,Gombe,Retail Store,258125,61.08,Space Utilization,20745,124
785,Borno,Retail Store,54642,65.92,Sustainable Practices,34138,311
11729,Ekiti,Retail Store,418594,66.94,Sustainable Practices,49929,242
6507,Jigawa,Retail Store,54348,66.85,Energy Efficiency,45404,239
11708,Zamfara,Manufacturing Plant,202615,64.53,Space Utilization,27090,169
7169,Kaduna,Office,290644,66.82,Security Enhancement,6217,153
14886,Abia,Manufacturing Plant,220035,83.32,Space Utilization,12802,266
10049,Kogi,Data Center,498498,74.66,Energy Efficiency,49785,201
15921,Kaduna,Manufacturing Plant,198193,64.11,Space Utilization,15434,333
10377,Kebbi,Manufacturing Plant,338050,60.86,Preventive Maintenance,47860,88
19118,Ondo,Warehouse,444444,92.09,Security Enhancement,39633,360
16319,Cross River,Office,101820,76.48,Preventive Maintenance,19520,278
11445,Abia,Office,156878,71.48,Security Enhancement,16599,278
11318,Ogun,Warehouse,154565,79.8,Security Enhancement,48749,245
17263,Yobe,Data Center,133594,93.58,Sustainable Practices,32919,462
2068,Ondo,Manufacturing Plant,498809,65.62,Preventive Maintenance,45247,408
16343,Enugu,Warehouse,409076,60.52,Sustainable Practices,6767,251
6014,Delta,Retail Store,247266,76.55,Preventive Maintenance,12789,493
17927,Osun,Warehouse,129510,91.69,Preventive Maintenance,15972,74
2598,Akwa Ibom,Retail Store,476339,99.44,Energy Efficiency,17725,228
17574,Ebonyi,Warehouse,319484,67.48,Sustainable Practices,6896,23
4074,Niger,Manufacturing Plant,216610,97.16,Space Utilization,26554,28
5208,Ondo,Manufacturing Plant,204156,81.01,Sustainable Practices,29576,385
5060,Osun,Data Center,317665,86.13,Security Enhancement,13538,106
15869,Adamawa,Retail Store,328820,70.67,Preventive Maintenance,14925,209
748,Kwara,Manufacturing Plant,86214,97.93,Preventive Maintenance,49035,389
13446,Imo,Manufacturing Plant,125178,75.96,Space Utilization,12110,34
4615,Cross River,Office,71159,63.69,Sustainable Practices,5615,409
1310,Imo,Retail Store,84830,81.65,Preventive Maintenance,13587,296
16257,Oyo,Office,115929,88.29,Space Utilization,45108,225
7901,Yobe,Manufacturing Plant,53013,84.72,Security Enhancement,40404,248
17060,Enugu,Data Center,353792,76.42,Preventive Maintenance,32947,102
14052,Niger,Retail Store,119609,96.43,Energy Efficiency,32189,94
2420,Rivers,Office,191389,98.77,Space Utilization,6543,202
10146,Jigawa,Manufacturing Plant,244959,63.73,Security Enhancement,30222,267
5521,Kebbi,Warehouse,422203,91.99,Energy Efficiency,15523,124
1480,Rivers,Office,68464,80.85,Security Enhancement,26315,14
5072,Ogun,Warehouse,51844,70.03,Sustainable Practices,9135,100
5864,Ogun,Manufacturing Plant,319060,89.46,Space Utilization,18926,161
8863,Adamawa,Office,324305,82.55,Energy Efficiency,7862,461
3063,Kebbi,Retail Store,214866,98.43,Preventive Maintenance,29963,400
10983,Osun,Manufacturing Plant,382579,92.53,Sustainable Practices,9219,400
10081,Kebbi,Office,205715,88.28,Sustainable Practices,15983,5
15256,Ebonyi,Office,228267,92.15,Preventive Maintenance,35563,51
13173,Abia,Warehouse,332554,94.81,Energy Efficiency,42124,130
17650,Bayelsa,Warehouse,129612,81.53,Preventive Maintenance,30205,50
7570,Zamfara,Manufacturing Plant,133260,77.83,Sustainable Practices,41074,155
